Comment,Sentiment
"আমরা কোন সাহেব চাই না, সেবক চাই।",
আলহামদুলিল্লাহ,
আমরা সবাই চাই ভালো কিছু ধর্ম বর্ণ নির্বিশেষে আমরা সবাই একসাথে মহান আল্লাহ আমাদের সহায় হোন আমরা সবাই দোয়া করি আল্লাহর কাছে,
বারো তারিখ সারা দিন ধামের শিশে ভোট দিয়ে,
বাংলাদেশ জিন্দাবাদ জাতীয়তাবাদী দল জিন্দাবাদ,
হাঙ্গামা সৃষ্টিকারীরা ভোটার বিমুখ পরিবেশ তৈরি করে নির্বাচনকে বিতর্কিত করতে চাচ্ছে। অবিলম্বে নিজ নিজ দলের পক্ষ থেকে এদের চিহ্নিত করে আইনের হাতে সোপর্দ করুন। এরা দলের এবং দেশের শত্রু..,
আরে জামাতে চুরি করি ব্যালট নিয়া মারি রাখের যে সেটা নিয়া আপনাদের কর্মীদের সচেতন থাকতে বলে পোস্ট দেন। প্রতিরোধ করতে বলেন। নয়তো হাতছাড়া হইব,
"ইনশাআল্লাহ ধানের শীষের হবে জয়,,আশা করি তারেক রহমান আমাদের প্রধানমন্ত্রী হবে",
বট বাইনি যেন না ঢুকতে পারে এখানে সবাই চোখ রাখবেন,
দাড়ি পাল্লা না রিকশা না ধানের শীষ বিজয় হবে,
ভরাসাগরের পানীয় কেউ খেতে পারে না বড় পাহাড়েও কেউ বসবাস করতে পারে না বড় তোলো কারো উপকার করতে পারে না,
"বর্তমান ইসিও বিচি ছাড়া ইসি।আওয়ামী লীগ,বিএনপি ও ভারত সহযোগে গভীর ষড়যন্ত্র চলছে। দেশব্যাপী দাঁড়িপাল্লায় যে গনজোয়ার ভোট সুষ্ঠ না হলে নিজ ভোট সেন্টারে ভোট গ্রহন অনিয়ম হলে ইসির খুলে নিতে হবে।",
বিভিন্ন দেশে মানুষ প্রয়োজন হয় না শুধু ক্যামেরা দিয়ে নিয়ন্ত্রণ করতে পারে,
"রাইট,দাড়িপাল্লার জয়দেখে এরকম করে।",
ধানের শিসে ভোট দিন,
জয় হোক জনতার বিএনপি জিন্দাবাদ।,
লিডার আপনাকে অনেক ধন্যবাদ আপনার পরিকল্পনা গুলো যেন বাস্তবায়ন হয়,
সবার আগে বাংলাদেশ,
ফরিদপুর সদর ত আসনের নীতি,
"যিনি কুরআন তেলাওয়াত করেছেন, একজন আলেম মানুষ তার জন্য কি একটা চেয়ার হয় না, তাকে একটি চেয়ারে বসিয়ে দেয়া হোক।",
জুলাই সনদ আস‌লে কি?,
"হ‌্যাঁ ভোট বা না ভোট, কোনটা দেয়া উ‌চিত?",
"অভিনন্দন, চমৎকার এবং সময়োপযোগী একটি ইশতেহার দেয়ার জন্য।",
ইনশাআল্লাহ বিএনপি বিজয় হবে,
ধানের শীর্ষ ধানের শীর্ষ,
সবার আগে বাংলাদেশ,
কারণ ওরা বুঝে গেছে এখন জনগণ কোন পথে,
,
কথা টা রাইট,
ঠিক আছে,
হাতপাখা জিন্দাবাদ,
,
ঠিক বলেছেন ম্যাডাম ধন্যবাদ আপনাকে ঠিক বলেছেন,
তরুণ প্রজন্মের প্রথম ভোট ধানের শীষের,
পক্ষে হোক,
"চাঁদাবাজি দুর্নীতি নৈরাজ্য ঘুষ সন্ত্রাসের মুক্ত হোক, ইনসাফের বাংলাদেশ যুক্ত হোক। ইনক্লাব জিন্দাবাদ।",
ইন্সাআল্লাহ জিতবে ধানের শীষ। স্বাধীনতাবিরোধী রাজনৈতিক দল নিপাত যাক।,
ইনশাআল্লাহ দাঁড়িপাল্লার জয় নিশ্চিত,
তারুণ্যের প্রথম ভোট ইনসাফের পক্ষে হোক হঠাও চাঁদাবাজ বাচাও দেশ দাড়িপাল্লার বাংলাদেশ,
এটা বিএনপির জন্যই মানায়,
ভয় কাজ করছে,
হারলেই বলবে নির্বাচন সুষ্ঠ হয়নি জিতলে বলবে নির্বাচন সুষ্ঠ হয়েছে,
বিএনপি নেতাকর্মী এবং পুলিং এজেন্ট গুলি আরো কঠোর নজরদারি থাকতে হবে সারাদেশে ভোট জালিয়াতি টাকা ছড়াছড়ি হচ্ছে।,
"""১২ তারিখ, সারাদিন ধানের শীষে ভোট দিন। ইনশাআল্লাহ, আমাদের জয় হবে!",
বিএনপি ভালো করেই জানেন নির্বাচন সুষ্ঠু হবে এবং তারা হারবে এজন্য তারা উল্টাপাল্টা কথা বলতেছে।,
ধানের শীষের জয় হবেই ইনশাআল্লাহ,
ইনশাআল্লাহ ধানের শীষের বিজয় হবেই হবে।,
এখন পর্যন্ত সংবাদ মাধ্যম গুলোর মধ্যে যা দেখতে পেলাম সবচেয়ে বেশি বিএনপির নেতাকর কর্মীরা সবচেয়ে বেশি অ্যারেস্ট হয়েছে অস্ত্র নিয়ে,
"বাগেরহাট, ১আসনে কফিলকৃষ্ণ মন্ডল বিকল্প নেই",
তারেক রহমান জিন্দাবাদ,
মগবাজারে আগুন লাগিয়ে দিয়েছেন লিডার,
বাগেরহাট ৩ লায়ন ডক্টর শেখ ফরিদুল ইসলাম,
ধন্যবাদ ভাইয়া,
ধানের শীস,
জয়বালা,
রাইট কথা বলছো,
ধন্যবাদ ধন্যবাদ,
মাগুরা জেলা,
দেখা হবে বিজয়ে,
ইনশাআল্লাহ ধানের শীষের বিজয়ী হবে,
জামায়াত বয়কট,
বাংলাদেশের জনগণ,
খুলনা বিভাগের পক্ষ থেকে আপনাকে জানাই স্বাগতম প্রিয় লিডার জনাব তারেক রহমান,
কাতার প্রবাসী সিরাজগঞ্জ এর ছেলে,
বিএনপি,
ইনশা আল্লাহ ধানের শীস,
ধানের শীষ,
"ভোটকেন্দ্রে যাবো, মোবাইল নিয়েই যাবো। দাঁড়িপাল্লায়, ভোট দিবো সেলফি তুলে সেলিব্রেট করবো। ভোট হবে উৎসব ইনশাআল্লাহ।",
চুরি করার সুযোগ দিলে নাকি সুষ্ঠু নিরপেক্ষ নির্বাচন হয়। মনের কথা বিএনপির,
মা মেনে উপায় নাইরে পাগলা,
"সারা বাংলা হয়েছে জোট, নৌকা ছাড়া কিসের ভোট।",
এসেছে জোয়ার এসেছে ঢেউ ধানের শীষের  বিজয় ঠেকাতে পারবে না কেউ,
বিএনপির মহাসচিব নির্যাত ফখরুল ইসলাম আলমগীর আগাম কথা একটু কমায় বলেন,
বিএনপি একটা আদর্শিক গণতান্ত্রিক দল তাদের উদারত মন আছে দেশ জাতির স্বার্থে বিএনপি যে কোন জিনিস মেনে নেয় এটাকে বলে,
"এই নির্বাচলে বি এন পিই জিতবে, তবে অনেক কষ্ট হবে,",
বাংলাদেশ জাতীয়বাদী দল এমন একটা দল যে কোন কিছু মেনে নেওয়ার জন্য প্রস্তুতি থাকে ইনশাল্লাহ বাংলার জনগণ যদি মেনে নেয় বাংলাদেশ জাতীয়বাদী দল মেনে নিবে ইনশাআল্লাহ যেকোন ফলাফল,
ইনশাআল্লাহ তারুণ্যের প্রথম ভোট ধানের শীষের পক্ষে হোক,
ইনশাআল্লাহ ধানের শীষ,
ধানের শীষ,
ধানের শীষ,
ইনশাআল্লাহ,
ইনশাআল্লাহ,
"বিজয় আমাদের হবে,,টেকনাফ থেকে তেঁতুলিয়া সমতল থেকে পাহাড়,  মার্কা মোদের একটাই ধানের শীষ দিবো ভোট ধানের শীষে, গড়বো দেশ মিলেমিশে",
,
ইনশাআল্লাহ বিএনপি,
"নির্বাচন সুস্থ না হলে কারচুপি হলে নির্বাচন মেনে নিবে না জনগণ,",
"আগামীকাল রাতে বাংলাদেশে রাতে গরু ছাগলের হাট বসবে, উক্ত গরু ছাগলরা গলায় দড়ি পড়ে রেডি থাকবেন",
ইনশাআল্লাহ যাবে দাড়িপাল্লা কেউ ঠেকাতে পারবেনা,
,
বিএনপি সরকার গঠন করবে ইনশাআল্লাহ,
হেরে গেলে বলবে নির্বাচন সুষ্ঠু হয়নি,
,
ভয় কাজ করছে কলিজার ভেতরে .!!,
অথচ জামায়াত আগ থেকেই সুতা ধরার পায়তারা খুঁজতেছে একটু আগে বলছে তাঁরা মানবে না,
,
সাজানো নাটক মঞ্চস্থ হচ্ছে সেরকম মনে হচ্ছে একটি মেয়ে বলতেছে শিখিয়ে দেওয়া কথা মনে হলো।,
"বই, এন, পি, এবার জিতবে ইনশাল্লাহ",
ইনশাল্লাহ জয় হবে ধানের শীষের জয় হবে,
জনাব তারেক রহমান এর হাত ধরে বাংলাদেশ এগিয়ে যাবে,
"চাঁ দা বা জি র টাকা দিয়ে বস্তির মানুষকে বাসস্থান করে দেওয়ার আশ্বা'স দিচ্ছে, সে নিজেঔ চলে চাঁ দা র টাকা দিয়ে, আবার মানুষকে দেওয়ার প্রতিশ্রুতি দিচ্ছে",
"এই তো জিয়ার ছেলে,,,অল্পতেই সাধারণ মানুষের সাথে মিশে যান,,",
দেখা যাক কি হয়,
In sha allah,
বট বাহিনীর বেহেস্তের টিকিট শেষ হয়ে যাচ্ছে।,
২০০১-২০০৬ পর্যন্ত অসীম দুর্নীতি ভুলে নাই জাতি,
বিএনপি,
রাজনৈতিক মুক্ত পেইজ স্বাগতম আপনাকে,
ইনশাআল্লাহ বিজয় সুনিশ্চিত,
ধানের শীষ,
ধানের শীর্ষ,
ইনশাআল্লাহ দাঁড়িপাল্লা,
আহা তেল,
ইনশাআল্লাহ।,
বি এন পির বিজয় হবে ইনশাআল্লাহ,
Utite jader dorniti paoajaynay taderke kumuta deoa durkar,
আসসালামু আলাইকুম,
অসাধারণ,
চান্দা,
Alhamdulillah,
"প্রিয় লিডার , রংপুরের প্রতিটি আসন ইনশাআল্লাহ আমরা আপনাকে উপহার দিবো",
নিরাপত্তার কথা বলোনা,
আহ কমেডিতে সেরা রেহ,
আলহামদুলিল্লাহ,
এগুলি মিটিং মিছিল করার আগে নেতাকর্মীরা যেভাবে চাঁদাবাজি করতেছে খেয়াল করেন বন্ধ করেন বন্ধ করেন তাহলে সবই হবে,
ফ্যামিলি কার্ড দিয়ে কোন লাভ নাই,
মানুষকে কর্মসংস্থানের ব্যবস্থা করেন,
আমরা চাই কর্মসংস্থান হোক,
কারো করুণা বা কারো সাহায্য না,
বেকারত্ব দূর করেন,
আপনি ফ্যামিলি কার্ড,
কৃষক কার্ড,
এগুলি বন্ধ করে আপনি বেকারত্ব বন্ধ করার ক্ষেত্রে কর্মের ব্যবস্থা করুন,
মানুষ বুঝে গেছে বুঝছেন মানুষ এখন মানুষের জীবনে নিরাপত্তা চায়,
আমি চাই আমি যেন ভালোভাবে চলতে পারি আমার ফ্যামিলিকে নিয়ে আমার ফ্যামিলি কার দরকার নাই,
ধরে নেন বিএনপি পাস করল না,
তাহলে কি আমরা ফ্যামিলি কার্ড পাব না,
আমি তো ভেবেছিলাম সরকারি না জিতলেও ফ্যামিলি কার্ড দেওয়া হবে,
একবেলা বাজার করলে ২ হাজার টাকা লেগে যায়,
যেই শহরে চাঁদাবাজদের জন্য আমাদের জীবনের নিরাপত্তা নাই,
আপনারা এই বিষয়ে একটু কথা বলেন,
বিএনপি কমাতে গেলে একটিও চাঁদাবাজ থাকবে না,
এইটার প্রতিশ্রুতি দেন,
চাঁদাবাজির অভিজ্ঞতাও নাই অন্যদের,
mohammadpur er tokai,
বিএনপি ৫ বছর সময় পেলে,
পরিকল্পনা হলো বৃহত্তর চান্দা বাজি।,
খাম্বা প্রজেক্ট এর মালিক,
এসো নবীন দলে দলে,
যোগ দাও চাঁদাবাজির দলে।,
ইনশাআল্লাহ জয় জামাতেরই হবে,
ঠিকমতো বিসমিল্লাহ বলতে পারেন না শুদ্ধভাবে,
ভোট দিবো কিসেধানের শীষে,
যার নিজের নাই নিরাপত্তা,
সে দিবে দেশের নিরাপত্তা!,
দাঁড়িপাল্ল,
এই হলো বুদ্ধির দৌড়। আদমজী হতে পাশ করা কাউকে আড়াই হাজার টাকা সহযোগিতায় কি হবে ? আর সবার জন্যই এই সুবিধা উন্মুক্ত কি ফেয়ার ?,
ন্যায় ইনসাফের প্রতীক দাঁড়ি পাল্লা মার্কা,
পরিবর্তীত রাজনীতি,
জামাত হাদিয়া দল,
জামাত একটা মুনাফিকের দল।,
দাঁড়ী পাল্লা,
জিয়া দেখেছি ঠকি নাই,
বক্তব্য তো ভালই হচ্ছিল হঠাৎ ধর্ম হতে দেশ রক্ষা করার কথা বলে তো আকাম করলেন।,
তারেক রহমান জিন্দাবাদ,
"করবো কাজ, গড়বো দেশ",
আজকের ফ্রি অফার!!,
ধানের শীষের বিজয় হবেই,
"আল্লাহ ছাড় দেয়, কিন্তু ছেড়ে দেয় না",
বাটপার,
"খেলা যে চলছে কোন লেভেলে,,,",
বট বাহিনী আর জান্নাতের টিকেট এর কারনেই জামাত হারবে।,
দাঁড়িপাল্লা,
Ledar,
শরিয়া আইন মানে না অমুসলিম রা,
Leader ....,
Comment,
"জাগবে এবার চাষাভুষা, জাগবে মাঝিমাল্লা,",
"সৎ লোকের শাসন হবে, জিতবে দাঁড়িপাল্লা।",
জনাব তারেক রহমান আপনাকে অনেক অনেক ধন্যবাদ আপনার মুখ থেকে জাতি শুনতে চাইছিল হা পক্ষে ভোট চাওয়াটা আপনি বলে দিয়েছেন আপনাকে অনেক অনেক ধন্যবাদ এগিয়ে যান আপনাকে আল্লাহ মঙ্গল করুক,
"৪৭% মানুষ চায় এদেশের প্রধানমন্ত্রী হবেন জনাব তারেক রহমান, আর ২২ শতাংশ মানুষ চায় এ দেশের প্রধানমন্ত্রী হবেন ড. শফিকুর রহমান। সর্বশেষ এগিয়ে বিএনপি",
কার্ড দেওয়ার আগে ব্যাগ দেওয়ার ব্যবস্থা করেন।এতো কার্ড পকেটে রাখলে হারাইয়া ফেলবো।,
Card Party,
একশেন টু একশেন চাদা বাজের বুরুদ্ধে ডাইরেক্ট একশেন,
ইলেকট্রনিক গাছ,
ইনশাআল্লাহ দাঁড়ি পাল্লা,
খাম্বার ইতিহাস মনে পড়ে,
বিএনপি'র পক্ষে সম্ভব চাঁদাবাজি করা অন্য কারো পক্ষে না,
সবাইকে আলাদিনের একটা করে চেরাগ দিয়ে দিন।,
‘আমার একটা হাঁসও যেনো কোনো শিয়ালের বাচ্চা চুরি না করতে পারে।রুমিন ফারহানা,
https://www.facebook.com/share/r/1CuwK2yvgV/,
10 হাজার টাকা কি কেউ ঋণ নেয়????,
গুপ্ত বাহিনী এখন শুনলি,
ভারত নিয়ে কি কথা বলতে লজ্জা লাগে,
হা হা ভুয়া,
Bangladesh Donald trump,
ইনশাআল্লাহ,
মজার মজা,
অনেক সুন্দর বক্তব্য,
মাশাআল্লাহ,
Shandabaj,
চান্দা card,
ধানের শী,
লিডার,
নায়ক,
সবার আগে বাংলাদেশ তারপরে কি ইন্ডিয়া নাকি লন্ডন?,
আমি বি এন পি ভালো বাসি,
সরাসরি মাঠে দেখতেছি,
ইনশাআল্লাহ দাড়িপাল্লা,
বক্তব্য শুনে জামাতের জ্বলে,
চাপে পড়ে বলেন,
কিশোরগঞ্জ ৪ আসন থেকে দেখছি,
ইনশাআল্লাহ এবার জিতবে দাঁড়িপাল্ল,
তারেক ভাই আগামীর প্রধানমন্ত্রী,
ধানের শীষ,
"এটাকে তো আমার কোনভাবে রাজনৈতিক বক্তব্য বলে মনে হচ্ছে না যেন কোনো হকার রাস্তার মোড়ে দাঁড়িয়ে সস্তায় কোন কিছু বিক্রি করছেন এমন বলে মনে হচ্ছে ওই যে আসে না শুক্রবারে হাটে বাজারে ঠিক তেমন দেখাচ্ছে ,",
এখানে বট বাহিনী এসেছে কেনো,
বট ২০ টাকা প্লেট,
ভোরবেলা গিয়ে দাঁড়িপাল্লায় ভোট দিবেন,
যে কার্ডের মধ্যে খাম্বা থাকবে,
ধানের শীষের বিকল্প নাই,
বরগুনা জেলা থেকে বলছি,
মানুষ নাই,
পিনাক ভাই ছালাম নিন,
তারেক জিয়ার অনেক গুণ,
ইলেকশনে মানুষ খুন!,
তারেক রহমান এই ছিল আপনার প্লান??,
নেতা এখন ট্রাম্প এর ভূমিকা,
Kun jaigai aita?,
দুর্নীতির বরপুএ তারেক রহমান,
জামায়াতের খপ্পরে পড়ে সর্বস্ব হারিয়ে যাওয়ার পথে এনসিপির নেতা,
নারীদের গায়ে হাত দেন আবার লম্বা লম্বা কথা,
খালি আর কার্ড এক বয়ান,
"খাম্বা চুরির পর, নতুন চুরির আইডিয়া",
আওয়ামী লীগ ঘরে ঘরে মোবাইল ফোন দিয়েছে আর বিম্পি ক্ষমতা না গিয়ে ফ্যামেলির কার্ড বাহ বাহ বাহ বাহ বাহ,
তারেক রহমানের হাতেই নিরাপদ আমার প্রিয় বাংলাদেশ,
ইনকিলাব জিন্দাবাদ জামাতি ইসলাম জিন্দাবাদ দাঁড়িপাল্লার বিজয় নিশ্চিত,
"বেসরকারি পরামর্শক প্রতিষ্ঠানটির ‘পিপলস ইলেকশন পালস সার্ভে (পেপস)’তে দেখা যাচ্ছে, বিএনপির সমর্থন বৃদ্ধির পাশাপাশি এখন ৪৭ শতাংশের বেশি মানুষ দলটির চেয়ারম্যান তারেক রহমানের প্রধানমন্ত্রী হওয়ার সম্ভাবনা দেখছেন।",
#TariqueRahman #bnpleader #bangladeshelection,
Ins Allah Daripalla,
হ্যাঁ মানে পাকিস্তান!,
Kausar Hossain ki re vau desh neta ote gese hamaghorek dawat des ni eta kono kam!!!,
Md Samiul Ahmed Sohan ki kos!?,
কৃষককে সার চাওয়ার জন্য গুলি করে আপনারাই মেরেছিলেন,
"চাঁন্দাবাজকে না বলুন,",
পাটক্ষেতী জনতা চায় না । চোর পীর হবে পাটক্ষেতী মানুষ হবে না । আন্ধা ই রবে,
আলহামদুলিল্লাহ,
আজ পর্যন্ত জামাত শিবির এরকম একটা বক্তব্য দিতে পারেনি শুধু আছে মানুষের বিরুদ্ধে গীবত করা,
হ্যামিলিউনের বাঁশিওয়ালার নেতৃত্ব দেশে সুনামি চলছে।,
"""স্বপ্ন আছে হাজারটা, মার্কা মোদের একটা",
বিএনপি মানেই বাংলাদেশ মানুষ বুঝতে বাকি নেই,
পাগলগলচা,
চাপা বাস,
কাম্মা চোরের ঘরের কাম চুর,
"প্ল্যান, প্ল্যান, কোন প্ল্যান?",
ধরনের শীষে ভোট দিন সবার আগে বাংলাদেশ,
মির্জা আব্বাসের লোক যেসব জায়গায় চাদাবাজি করে:-,
তারেক রহমান মানেই বাংলাদেশ,
আন্ডার মেট্রিক।,
খাম্বা ধরিয়ে দিবে,
লন্ডন থেকে আসতে যত দেরি হয়েছে আবার লন্ডনে পালাতে এত সময় লাগবে না,
ধানের শীষ ইনশাআল্লাহ,
মুলা দরিয়ে দিবে,
"বিএনপি চাঁদাবাজ, খাম্বা তারেক ধোঁকাবাজ। জামায়াত ইসলাম জিন্দাবাদ, পাকিস্তান জিন্দাবাদ।",
Dekha jabe,
আর কত বোকা বানাইবেন মানুষকে,
দাঁড়িপাল্লা,
আমি সাতক্ষীরা জেলা কালীগঞ্জ থেকে দেখছি বি এপি সাপোর্ট করি,
তারেক রহমান জিন্দাবাদ,
ফি আমানিল্লাহ্,
আল্লাহ সুস্থ রাখুন আমিন,
সবার আগে বাংলাদেশ,
বসন্ত কাল চলছে বি এন পির,
অন্য দলের সমালোচনা করতে করতে উনি রংপুরে কি উন্নয়ন করবেন সেটা বলতে ভুলে গেছেন। শুভ কামনা রইলো,
ইনশাল্লাহ আমরা আছি তোমার সাথে ভয় নাই রাজপথ ছাড়ি নাই ধানের শেষের পক্ষে থাকবো ইনশাল্লাহ,
"ভাবছিলাম নেতা লন্ডন থেকে অনেক কিছু শিক্ষা আইছে কিন্তু ঘটনা দেখি উল্টা ,,",
চাঁদাবাজ,
আওয়ামী দুঃশাসন আর দুর্নীতির দোসররা এখন একজোট। সাধারণ মানুষের অধিকার হরণকারী আর দেশের সম্পদ লুটকারীদের আসল চেহারা চিনে রাখুন।,
চুম্মা শফিক কে চুম্মার লাইসেন্স দেওয়া হোক,
১২ তারিখ সারাদিন দাঁড়িপাল্লায় ভোট দিন,
পরিবর্তন চাই চাঁদাবাজ পরিবর্তন হোক সন্ত্রাসী বিএনপি পরিবর্তন হও,
এ দেখি খাম্বা চোরা তারেক,
ইনশাআল্লাহ আপনার মনের আশা পূর্ণ হবে ধানের শীষ নিশ্চয়ই জয় হবে,
তারেক রহমান ইনশাআল্লাহ আগামী প্রধানমন্ত্রী,
আমরা সবাই মিলে মিসে ভোট দিবো ধানের শীষে,
বাংলাদেশ জিন্দাবাদ তারেক রহমান জিন্দাবাদ,
১২ তারিখ সারাদিন ধানের শীষ মার্কায় ভোট দিন,
ইনশাআল্লাহ ধানের শীষে ভোট দিব,
ভোট দিব কিসে ধানের শীষে,
দুর্নীতিমুক্ত অপরাধ মুক্ত সোনার বাংলা গড়তে আসুন সবাই মিলে ধানের শীষ এ ভোট দিয়ে জয়যুক্ত করি,
ইনশাআল্লাহ ধানের শীষ,
ধানের শীষ জিতলে এগিয়ে যাবে বাংলাদেশ,
স্যালুট তারেক রহমান কে,
ফ্যামিলি কার্ডে কি টাকা থাকবে না খাম্বা থাকবে জানালে খুশি হতাম,
তারেক রহমান ইনশাআল্লাহ,
ধানের শীষ ছাড়া কোন গান নাই,
বিএনপি বেইমান,
তারেক রহমান ভারতীয় রাজাকার,
হত্যা করে ক্ষমতায় যাওয়ার সপ্ন নিপাত যাক,
তোমাদের খাম্বা চুরি করার অভিকতা বেশি,
ভূতের মুখে রাম রাম,
তারেক জিয়ার দুর্নীতিবাজ,
ফেসবুক আইডিতে ব্লু টিক নিলে ইনবক্সে করুন এখনই ৩৮ টাকায়,
দুর্নীতিবাজ তারে,
মিস্টার টেন পার্সেন্ট তারেক রহমান,
তোমার মেয়েকে সবাই ১২ তারিখে করবে,
খাম্বা থাকবে না,
খাম্বা তারেক,
ইনশাআল্লাহ জিতবে দাঁড়ি পাল্লা,
চান্দাবাজ বয়কট,
খাম্বা,
দুর্নীতির চ্যাম্পিয়ন বিএনপি চাঁদাবাজের শীর্ষ বিএনপি,
ইনশাআল্লাহ জিতবে এবার দাঁড়ি পাল্লা,
আচ্ছা স্যার! সবার আগে বাংলাদেশ তারপরে কি ইন্ডিয়া নাকি লন্ডন?,
আমি জামাত থেকে বিএনপিতে যোগ দিলাম,
মুফতি তারেক চোর,
তাহলে নারীদেরকে আপনারা মারলেন কেন এই চাঁদাবাজি বিএনপি,
রাজাকারদের এই জায়গায় কাজ কি,
চাঁদা বাজ,
ও রে বাটপার,
চাঁদাবাজ বইকট,
জামাত ইসলাম নামে ভন্ড মুনাফেকের দল,
বয়কট বিএনপি,
বিএনপি শয়তান,
আপনারা ক্ষমতায় গেলে এক বছরের ভিতরে দেশ দেউলিয়া হয়ে যাবে খাম্বা ছিল কারেন্ট ছিল না কাট থাকবে টাকা থাকবে না,
চুম্মা শফিক ভয় নাই।ধানের শীষ ছাড়ি নাই,
তোরে লন্ডনে পাঠাও,
কমেন্ট কিছু বট বাহিনীর খানকির পোলার পাকিস্তানের রাজাকার বিচ দেখা যাচ্ছে,
চাঁদাবাজ তারেক রহমান,
বিএনপি চাঁদাবাজ,
খাম্বা ছিল কারেন্ট ছিল না এখন কাট থাকবে টাকা থাকবে না,
কমেন্টে কিছু জারক আছে এই পাকিস্তানি ব্রিজ দেরকে একটু জবাব দেন সবাই,
শালা বট বাহিনীর খানকির পোলার,
চাঁদাবাজ বয়ক,
প্রত্যেকটা পরিবারের গুদমারানি দিব আমরা,
পাচদা বাঁশ দিয়ে দিব,
নারীদের তো এখনই মাইর শুরু করে দিছো মি.খাম্বা,
খাম্বা চুর,
হা ভুয়া খাম্বা,
ভুয়া ভুয়া,
আগে নিজের দলের ইনকিলাপি আছে তাদের ঋণ পরিশোধ কর,
দাঁড়িপাল্লা দাড়িপাল্লা দাড়িপাল্লা দাড়িপাল্লা,
দাঁড়িপাল্লা দাড়িপাল্লা,
,
চান্দাব্বাস হাদী হত্যা ভূমিকায় অপরিসীম।,
কথাটা তো মনের নাম মুখের কথা,
আপনাদের রাজনীতি যদি সঠিক পথে থাকে তাহলে আপনাদের এত কথা বলার দরকার নেই জনগণ তাদের রায় দিয়ে দিবে,
তাহলে তো দেখি ফেসবুকে দলে দলে মানুষ আওয়ামী লীগ থেকে বিএনপিতে যোগ দিচ্ছে আপনি তখন চোখে দেখেন না আসলে সবাই মিথ্যুক,
"বিচারের দাবি নাই, তাই আপাকে দেশে না এনে দাদাদের কাছেই রাখতে চায়!! নতুন বন্দোবস্ত",
"আপনারাই তো হাসিনার পক্ষে কথা বলেন,,এখন সুর বদল হইছে",
চান্দা জনগণ তোমারে ভোটে শিক্ষা,
এগুলো এখন মানুষ বুঝে,
কি কয় এই পাগলায়,
কিরে এত সহজে বাইরে গেল ভাষণ,
এ দেশে আসামি নিরাপদ,
অনেক সুন্দর কথা,
বিনপি তো আওমীলিগ সাথে নিতে ছে,
এটা বুঝতে অনেক দেরি হয়ে গেছে....,
চাঁন্দা আব্বাস,
Toi khoni,
হাদি ভাইয়ের বিচার চাই ।,
"মুরুব্বী মুরুব্বী,, সৃষ্টির ষষ্ঠা একজনই",
রং লেগেছে,
ভালোয় লাগছে,
Batpar,
কাকু সময় বদলাইছে ওহন পাব্লিক আগের পুরানা নষ্ট খাবার খায় না,
বাটপার,
মির্জা আব্বাস হল,
বিএনপি'র মীরজাফর।,
আপনার চেহারা ছবি তো তার প্রমান জনাব।,
দাদু গিরগিটির মতো রং চেঞ্জ করো না তোমাদের মুখে একটা অন্তরে আরেকটা,
তুমি এত ভালো মানুষ এত ভয় পাও কেন ভালো মানুষের তো ভোট আছি তাই এত ভয় পাও কেন,
যদি সঠিক নির্বাচন হয় ৷ এমন মারা দিবো জনগনে মরার পরেও ভূলতে পারবে না ৷,
"ভারতীয় রং আপনাদেরকে কেউ লাগাতে পারবেনা কারন ভারতীয় রং ইতিমধ্যে আপনারা গায়ে মেখে এসেছেন, ষার।",
ID Dallas,
আওয়ামিলীগকে আপনারা আস্রয় দিতেছেন।,
তোরে কে ভোট দিবো,
আপনার দুই পা কবরে কি আর বলবেন মুরবি,
বিশ্বাসের মা মারা গেছে।,
কথা বলতে পারেনা,
"বন্দু,তুমি,,যাই,,বলো,,,লিগের,,দুসর",
গডফাদার,
বিএনপির মির্জা আব্বাস ভাই খুবি অসন্তুষ্ট ঢাকার আসনে অন্য জেলার মানুষ কেন নির্বাচন করতে আসছে।,
এ্যালার্ট,
"Insaf , Zindabad .",
এ-র জন্যই হাদিকে সরিয়ে দিয়েছিস,
ঢাকা -৮ এ চান্দাবাজ এর স্থান আর হবে না ইনশাআল্লাহ,
চান্দাব্বাছ,
Ata aponar kota awomilige vokto 6 kote votarar kota na.awomiliger shomay moto asbei karor bapero khomota ni feranor.,
চান্দাব্বাস,
"আপনার দলই তো, আওয়ামী লীগ কে দলে এডপ্ট করতেছে।",
হ্লা ফ্লাউল,
হাসিনাকে তোমরা নিয়ে আসবা,
চান্দাভাই ডরাইছে।,
মনা তুমি 3rd হবা,
সুর পাল্টায় কেন,
"এই কথা আওয়ামী থাকলে আপনাদের ব্যাপারে ও প্রচুর বলেছে রাতদিন বলেছে, এখন কোন দেশের জনগন পারলো? আওয়ামীর পরে আপনাদের পালা এখন!",
হু হু হা হা,
ভারতীয় রং আপনারা নিজেরাই গায়ে লাগিয়ে গুরতেছেন,
এখন নতুনদের রাজনীতিতে আসা উচিৎ পুরানদের খানা নেই,
"জনগণ কে সিদ্ধান্ত নিতে দিন , আপনারা বাধা দিচ্ছেন কেন ?",
"কালার না সত্যি, নিজের বংশের কিছু লোক কে এমন দেখলাম। আর কারে কি বলবো।",
৮ এর জনগন বুঝে শুনে ভোট দিবে,
বাংলা সিনেমা পাবলিক দেখে না সিনেমা র হল গুলো বন্ধ হইয়া গেছে,
